"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"853","MTD2168",-55.3499264549507,1.879984789208,35.1552157096271,0.000196358121683332,-36.3470026476739,0.0329310077398386,1.05903193618749,2.80086467696346,300.15,-40.9747012675835,1,0.353951046139263,0,-1.09147242605442,288.042048339382,-2.29458374519523,0.95,0.197468674559988,2.68729974613516,-1.09147242605442,0.430591603966603,289.99099078015,301.992108257718,-16.8535319300921,1,12
"854","MTD2169",9.10359210829685,16.0924665993272,40,0.00176386248621863,29.3900667442196,0.243451461828195,0.611857621210635,3.35791591573229,312.683202928192,7.75322963909696,0.9,3.4494258591633,0,-0.558542834152092,301.124972936202,33.6030266048995,0.95,1.60201389364727,3.78177214321594,-0.558542834152092,0.255887710808216,302.604327677402,312.64623609793,44.594836724559,1,9
"855","MTD2170",10.7453394951695,14.5853199050723,40,0.00159112364716094,38.5948592456446,0.428627304573844,0.424897736856737,4.99780379379788,314.974978104999,-4.61866211544872,1,2.31456222854442,0,-0.452620088850044,285.523392756944,43.6802110018709,0.85,1.87147628695053,5.16523048195614,-0.452620088850044,0.183711667615294,300.635200499352,314.670998220727,23.1137453441694,1,11
"856","MTD2171",6.32710410112423,0,35.0029985426422,0.000636640820380598,24.0375033684817,0.326117427543422,0.593295545825807,1.22860623148731,303.15,11.4531778186249,0.8,1.81967966091414,0.0253107338967816,-0.389348886001144,295.912433996134,22.9467261796237,0.9,0.588588616867658,1.13638092653303,-0.389348886001144,0.452535442206538,275.622111675058,303.15,61.1252572383348,1,6
"857","MTD2172",7.88324628377315,0,35.0036482491406,0.000357601944278798,13.7466642118102,0.139450020710865,0.711328189168184,1.79839760836613,301.746791946761,5.66723869028807,0.8,0.782821006984459,0,-0.557301570458592,286.271358215538,21.787049515594,1,0.218474959102815,1.73570764995574,-0.557301570458592,0.576508306359851,273.15,302.16106596377,55.8336897904883,0.95,6
"858","MTD2173",6.33170953027296,0,35.0017564549164,0.000269154821102427,6.50333039749225,0.132854368923413,0.611994585150677,2.45297957327711,301.866942891506,-1.70923804728129,1,0.442665359758589,0,-0.467211211096454,270.226796229352,22.7579775648262,0.95,0.214435361119093,2.38301731832716,-0.467211211096454,0.493611119574568,273.15,301.741886950415,49.2030395670213,0.95,6
"859","MTD2174",12.3144498506901,0,39.306703860395,0.00046755983646217,7.06547148291381,0.314913946190806,0.407482755740683,27.9906093966278,308.534409165029,4.94203475353991,0.9,1.28647134076536,0.139210296101845,-0.359535753936119,298.049197947919,16.1020706805534,0.9,0.518975447059071,7.43444259853246,-0.359535753936119,0.319054945161396,273.15,309.542125397383,55.76470909301,0.75,6
"860","MTD2193",-10.8685127418163,13.3800670490904,35.4208177214033,0.000249240260256441,-22.8949941685602,0.0121790793045488,1.10412949970679,2.62822167365395,303.636880306923,-12.586498029693,0.75,0.315599361579967,0.111012081314608,-0.739041594849177,298.909470611529,4.22032068334904,1,0.0160630369163568,2.60993157889849,-0.739041594849177,1.02538847621374,273.15,303.765425771152,37.4509830416518,1,6
"861","MTD2194",-6.26182498759666,14.4024166754254,32.8937381762088,0.000313334556942632,-18.7354837699522,0.0127861351067731,1.0483566623568,4.49860698889062,303.36887111023,-10.7912398779587,0.95,0.287650854354217,0,-0.950699042259067,292.965551170831,10.7424113834127,1,0.015045445683164,4.49933349775333,-0.950699042259067,1.00132361959915,273.15,303.404251929096,39.2355337147343,1,6
"862","MTD2195",-9.53471301940624,12.3152558565594,34.7555950769618,0.000246051514787759,-22.2796750676601,0.00946558834364259,1.32873191444076,2.16182476926178,300.15,-8.3760281506346,0.55,0.407980240705537,0,-0.866750107087984,296.973737958701,4.60572111268055,1,0.0169020861825541,2.02457825251877,-0.866750107087984,1.15698390206605,281.819537077226,300.15,41.4512671670149,1,6
